place,user_name,rating,comment,date
Balewadi High Street,Ayush,5,Great place for shopping and dining.,2025-06-04 19:15:00
Paragliding at Kamshet,Omkar,5,Thrilling experience with amazing aerial views!,2025-06-16 08:15:00
Lonavala Tiger Point,Arjun,5,Stunning valley views especially during monsoon.,2025-06-24 17:15:00
Bhandardara (Day Trip),Ansh,3,Nice,2025-07-04 10:30:00
Patil Wada Vishrambaug Wada,Kiran,4,Old Pune architecture at its best.,2025-07-18 13:00:00
Mulshi Lake and Dam,Ashwin,5,Amazing scenic beauty and calm environment.,2025-08-23 12:30:00
Lonavala Tiger Point,Kshitij,5,Beautiful View,2025-08-23 14:45:00
Bhandardara (Day Trip),Tanvi,5,Waterfalls and greenery are breathtaking.,2025-09-16 17:30:00
ISKCON NVCC Temple,Megha,5,Peaceful and very clean temple premises.,2025-09-21 14:30:00
Bund Garden,Isha,4,Good for relaxing and family picnics.,2025-09-23 09:00:00
Mulshi Lake and Dam,Ansh,4,Nice view,2025-09-26 20:00:00
Lavasa,Pooja,4,Beautiful lakeside city for a short trip.,2025-09-28 15:00:00
Karla Caves (Lonavala),Sameer,5,Ancient caves with fascinating architecture.,2025-09-28 20:00:00
Bund Garden,Manish,5,Greenary,2025-10-17 21:15:00
FC Road,Sanket,4,Famous street for shopping and street food.,2025-10-21 09:15:00
Bhandardara (Day Trip),John,3,Nice,2025-11-09 13:30:00
Khunya Murlidhar Temple,Suresh,5,Very old and divine temple.,2025-12-01 20:30:00
Gram Sanskruti Udyan Village Park,Pallavi,4,Good place to learn village culture.,2025-12-11 08:30:00
Bedse Caves (Maval),Vikas,4,Less crowded and peaceful caves.,2025-12-12 11:45:00
Lonavala Tiger Point,Kshitij,4,View is amazing,2026-03-01 18:15:00
Rajiv Gandhi Zoological Park,Raj,4,Nice zoo with wide variety of animals.,2026-03-15 10:45:00
Shivneri Fort (Near Pune),Swapnil,5,Historic fort with amazing surroundings.,2026-03-23 10:00:00
Okayama Friendship Garden,Parth,5,Greenery,2026-03-28 18:19:27
Vetal Tekdi,Aditya,5,Best place for morning hikes and nature lovers.,2026-03-30 13:00:00
Chatushringi Temple,Komal,5,Holy place with beautiful city view.,2026-04-06 11:00:00
Sinhagad Fort,Pawan,4,Trecking experience is amazing,2026-04-08 17:15:00
Blades of Glory Cricket Museum,Ravi,5,Perfect place for cricket lovers.,2026-04-18 16:30:00
Pawna Lake,Sonal,5,Perfect for camping and night stay.,2026-04-22 20:30:00
Khadakwasla Dam,Neha,5,Great spot for monsoon outings.,2026-04-24 08:00:00
Shaniwar Wada,Akash,5,An iconic fort with rich Maratha history. Must visit!,2026-05-01 10:15:00
Osho Teerth Park,Varun,5,Extremely serene and well maintained park.,2026-05-13 18:00:00
Shaniwar Wada,Ansh,5,Historical place,2026-05-17 12:00:00
Koregaon Park Lane 7,Simran,5,Lively cafes and vibrant nightlife.,2026-05-24 13:30:00
Pawna Lake,Nakul,4,View is awesome,2026-05-26 21:00:00
Aga Khan Palace,Mrunal,5,Beautiful palace with deep historical importance.,2026-06-01 11:20:00
Baner Pashan Biodiversity Park,Nikhil,4,Nice nature trail inside the city.,2026-06-09 14:00:00
Peacock Bay,Rahul,5,Beautiful lake view and peaceful surroundings.,2026-06-15 11:15:00
JM Road,Tejas,4,Central place with good shopping options.,2026-06-26 12:00:00
Sinhagad Fort,Aniket,5,Amazing trek and breathtaking views from the top.,2026-07-01 07:45:00
Bhushi Dam (Lonavala),Rutuja,4,Fun place but very crowded in season.,2026-07-01 11:00:00
Pataleshwar Cave Temple,Rohit,4,Peaceful ancient cave temple in the city.,2026-07-01 17:10:00
Raja Dinkar Kelkar Museum,Priya,5,Great collection of artifacts and traditional items.,2026-08-01 13:30:00
Dagdusheth Halwai Ganpati Temple,Kshitij,5,Very spiritual place with positive energy.,2026-09-01 09:00:00
Parvati Hill Temple,Sneha,4,Good place for sunset and city views.,2026-09-01 18:45:00
Pashan Lake,Amit,4,Calm place for evening walks and bird watching.,2026-10-01 17:30:00
Empress Botanical Garden,Vaishali,4,Nice greenery and peaceful environment.,2026-11-01 10:50:00
Okayama Friendship Garden,Riya,5,"A beautiful Japanese-style garden, very relaxing.",2026-11-01 16:00:00
National War Memorial Southern Command,Sagar,5,A well-maintained tribute to soldiers.,2026-12-01 12:15:00
Shinde Chhatri,Pratik,4,Architecturally impressive and calm place.,2026-12-01 15:40:00
Rajiv Gandhi Zoological Park,Ninad,5,Best zoo i have ever seen,2026-03-29 11:33:31
FC Road,Akash,5,Best for shopping,2026-03-29 11:38:49
Shaniwar wada,Kj,5,Great place,2026-03-29 12:56:06
fc road,Ash,5,Nice place for shopping,2026-03-30 09:46:08
